segment1	a	á	b	c	č	ç	d	e	é	f	g	h	i	í	j	ʝ	k	l	m	n	ɲ	o	ó	ö	ő	p	r	s	š	t	u	ú	ü	ű	v	z	ž
o	0.6206896551724138	0.7878787878787878	0.9473684210526316	0.9772727272727273	0.9767441860465116	0.9761904761904762	0.9795918367346939	0.8378378378378378	0.8974358974358975	0.8823529411764706	0.9393939393939394	0.9259259259259259	0.8461538461538461	0.9024390243902439	0.9444444444444444	0.9791666666666666	0.935483870967742	0.9459459459459459	0.9411764705882353	0.9761904761904762	0.9761904761904762	0	0.5625	0.6	0.775	0.9428571428571428	0.9459459459459459	0.9534883720930233	0.9534883720930233	0.9772727272727273	0.48275862068965514	0.7058823529411764	0.7435897435897436	0.8333333333333334	0.8709677419354839	0.9565217391304348	0.9565217391304348
ó	0.7878787878787878	0.6206896551724138	0.9473684210526316	0.9772727272727273	0.9767441860465116	0.9761904761904762	0.9795918367346939	0.8974358974358975	0.8378378378378378	0.8823529411764706	0.9393939393939394	0.9259259259259259	0.9024390243902439	0.8461538461538461	0.9444444444444444	0.9791666666666666	0.935483870967742	0.9459459459459459	0.9411764705882353	0.9761904761904762	0.9761904761904762	0.5625	0	0.775	0.6	0.9428571428571428	0.9459459459459459	0.9534883720930233	0.9534883720930233	0.9772727272727273	0.7058823529411764	0.48275862068965514	0.8333333333333334	0.7435897435897436	0.8709677419354839	0.9565217391304348	0.9565217391304348
ö	0.8378378378378378	0.8974358974358975	0.9512195121951219	0.9565217391304348	0.9555555555555556	0.9545454545454546	0.9607843137254902	0.6470588235294117	0.7894736842105263	0.8918918918918919	0.972972972972973	0.9333333333333333	0.6666666666666667	0.8	0.8918918918918919	0.96	0.9714285714285714	0.8947368421052632	0.9459459459459459	0.9545454545454546	0.9545454545454546	0.6	0.775	0	0.5555555555555556	0.9473684210526316	0.8947368421052632	0.9090909090909091	0.9090909090909091	0.9565217391304348	0.7297297297297297	0.825	0.47058823529411764	0.7	0.8823529411764706	0.9148936170212766	0.9148936170212766
ő	0.8974358974358975	0.8378378378378378	0.9512195121951219	0.9565217391304348	0.9555555555555556	0.9545454545454546	0.9607843137254902	0.7894736842105263	0.6470588235294117	0.8918918918918919	0.972972972972973	0.9333333333333333	0.8	0.6666666666666667	0.8918918918918919	0.96	0.9714285714285714	0.8947368421052632	0.9459459459459459	0.9545454545454546	0.9545454545454546	0.775	0.6	0.5555555555555556	0	0.9473684210526316	0.8947368421052632	0.9090909090909091	0.9090909090909091	0.9565217391304348	0.825	0.7297297297297297	0.7	0.47058823529411764	0.8823529411764706	0.9148936170212766	0.9148936170212766
p	0.9666666666666667	0.9666666666666667	0.5238095238095238	0.7586206896551724	0.75	0.7407407407407407	0.8611111111111112	0.9696969696969697	0.9696969696969697	0.6190476190476191	0.7619047619047619	0.8235294117647058	0.9714285714285714	0.9714285714285714	0.9259259259259259	0.8571428571428572	0.5882352941176471	0.9285714285714286	0.7142857142857143	0.9032258064516129	0.9032258064516129	0.9428571428571428	0.9428571428571428	0.9473684210526316	0.9473684210526316	0	0.9285714285714286	0.875	0.875	0.7586206896551724	0.9393939393939394	0.9393939393939394	0.9473684210526316	0.9473684210526316	0.8181818181818181	0.9166666666666666	0.9166666666666666
r	0.935483870967742	0.935483870967742	0.935483870967742	0.8484848484848485	0.8787878787878788	0.8387096774193549	0.868421052631579	0.875	0.875	0.8518518518518519	0.9230769230769231	0.7777777777777778	0.8823529411764706	0.8823529411764706	0.44999999999999996	0.8947368421052632	0.9166666666666666	0.11764705882352944	0.8846153846153846	0.7142857142857143	0.8	0.9459459459459459	0.9459459459459459	0.8947368421052632	0.8947368421052632	0.9285714285714286	0	0.6428571428571428	0.7333333333333334	0.8484848484848485	0.9428571428571428	0.9428571428571428	0.8947368421052632	0.8947368421052632	0.8333333333333334	0.6774193548387097	0.7575757575757576
s	0.9459459459459459	0.9459459459459459	0.9166666666666666	0.6666666666666667	0.7714285714285715	0.6451612903225806	0.8048780487804879	0.8947368421052632	0.8947368421052632	0.7241379310344828	0.9032258064516129	0.7272727272727273	0.9	0.9	0.7241379310344828	0.8571428571428572	0.8571428571428572	0.6428571428571428	0.9393939393939394	0.8648648648648649	0.8947368421052632	0.9534883720930233	0.9534883720930233	0.9090909090909091	0.9090909090909091	0.875	0.6428571428571428	0	0.4285714285714286	0.6666666666666667	0.9512195121951219	0.9512195121951219	0.9090909090909091	0.9090909090909091	0.8666666666666667	0.4838709677419355	0.6571428571428571
š	0.9459459459459459	0.9459459459459459	0.9166666666666666	0.7777777777777778	0.65625	0.7647058823529412	0.8604651162790697	0.8947368421052632	0.8947368421052632	0.7241379310344828	0.9032258064516129	0.7272727272727273	0.9	0.9	0.6296296296296298	0.8	0.8571428571428572	0.7333333333333334	0.9393939393939394	0.8947368421052632	0.8648648648648649	0.9534883720930233	0.9534883720930233	0.9090909090909091	0.9090909090909091	0.875	0.7333333333333334	0.4285714285714286	0	0.7777777777777778	0.9512195121951219	0.9512195121951219	0.9090909090909091	0.9090909090909091	0.8666666666666667	0.6571428571428571	0.4838709677419355
t	0.9736842105263158	0.9736842105263158	0.8529411764705882	0.16666666666666663	0.5172413793103448	0.09090909090909083	0.5588235294117647	0.95	0.95	0.8787878787878788	0.8275862068965517	0.88	0.9523809523809524	0.9523809523809524	0.8787878787878788	0.736842105263158	0.72	0.8484848484848485	0.90625	0.7647058823529412	0.8333333333333334	0.9772727272727273	0.9772727272727273	0.9565217391304348	0.9565217391304348	0.7586206896551724	0.8484848484848485	0.6666666666666667	0.7777777777777778	0	0.9761904761904762	0.9761904761904762	0.9565217391304348	0.9565217391304348	0.9375	0.7948717948717949	0.8536585365853658
u	0.7741935483870968	0.8484848484848485	0.9444444444444444	0.9761904761904762	0.975609756097561	0.975	0.9787234042553191	0.8918918918918919	0.9210526315789473	0.875	0.935483870967742	0.92	0.7714285714285715	0.868421052631579	0.9411764705882353	0.9782608695652174	0.9310344827586207	0.9428571428571428	0.9375	0.975	0.975	0.48275862068965514	0.7058823529411764	0.7297297297297297	0.825	0.9393939393939394	0.9428571428571428	0.9512195121951219	0.9512195121951219	0.9761904761904762	0	0.5517241379310345	0.5757575757575757	0.7631578947368421	0.8620689655172413	0.9545454545454546	0.9545454545454546
ú	0.8484848484848485	0.7741935483870968	0.9444444444444444	0.9761904761904762	0.975609756097561	0.975	0.9787234042553191	0.9210526315789473	0.8918918918918919	0.875	0.935483870967742	0.92	0.868421052631579	0.7714285714285715	0.9411764705882353	0.9782608695652174	0.9310344827586207	0.9428571428571428	0.9375	0.975	0.975	0.7058823529411764	0.48275862068965514	0.825	0.7297297297297297	0.9393939393939394	0.9428571428571428	0.9512195121951219	0.9512195121951219	0.9761904761904762	0.5517241379310345	0	0.7631578947368421	0.5757575757575757	0.8620689655172413	0.9545454545454546	0.9545454545454546
ü	0.8974358974358975	0.925	0.9512195121951219	0.9565217391304348	0.9555555555555556	0.9545454545454546	0.9607843137254902	0.7894736842105263	0.85	0.8918918918918919	0.972972972972973	0.9333333333333333	0.5	0.736842105263158	0.8918918918918919	0.96	0.9714285714285714	0.8947368421052632	0.9459459459459459	0.9545454545454546	0.9545454545454546	0.7435897435897436	0.8333333333333334	0.47058823529411764	0.7	0.9473684210526316	0.8947368421052632	0.9090909090909091	0.9090909090909091	0.9565217391304348	0.5757575757575757	0.7631578947368421	0	0.5555555555555556	0.8823529411764706	0.9148936170212766	0.9148936170212766
ű	0.925	0.8974358974358975	0.9512195121951219	0.9565217391304348	0.9555555555555556	0.9545454545454546	0.9607843137254902	0.85	0.7894736842105263	0.8918918918918919	0.972972972972973	0.9333333333333333	0.736842105263158	0.5	0.8918918918918919	0.96	0.9714285714285714	0.8947368421052632	0.9459459459459459	0.9545454545454546	0.9545454545454546	0.8333333333333334	0.7435897435897436	0.7	0.47058823529411764	0.9473684210526316	0.8947368421052632	0.9090909090909091	0.9090909090909091	0.9565217391304348	0.7631578947368421	0.5757575757575757	0.5555555555555556	0	0.8823529411764706	0.9148936170212766	0.9148936170212766
v	0.9259259259259259	0.9259259259259259	0.7391304347826086	0.9375	0.935483870967742	0.9333333333333333	0.9166666666666666	0.9333333333333333	0.9333333333333333	0.5789473684210527	0.8571428571428572	0.7142857142857143	0.9375	0.9375	0.8260869565217391	0.9142857142857143	0.9	0.8333333333333334	0.6842105263157895	0.896551724137931	0.896551724137931	0.8709677419354839	0.8709677419354839	0.8823529411764706	0.8823529411764706	0.8181818181818181	0.8333333333333334	0.8666666666666667	0.8666666666666667	0.9375	0.8620689655172413	0.8620689655172413	0.8823529411764706	0.8823529411764706	0	0.8064516129032258	0.8064516129032258
z	0.95	0.95	0.8648648648648649	0.7948717948717949	0.85	0.7837837837837838	0.631578947368421	0.9024390243902439	0.9024390243902439	0.8235294117647058	0.84375	0.76	0.9069767441860466	0.9069767441860466	0.75	0.7560975609756098	0.90625	0.6774193548387097	0.9142857142857143	0.7837837837837838	0.8461538461538461	0.9565217391304348	0.9565217391304348	0.9148936170212766	0.9148936170212766	0.9166666666666666	0.6774193548387097	0.4838709677419355	0.6571428571428571	0.7948717948717949	0.9545454545454546	0.9545454545454546	0.9148936170212766	0.9148936170212766	0.8064516129032258	0	0.4375
ž	0.95	0.95	0.8648648648648649	0.8536585365853658	0.7894736842105263	0.8461538461538461	0.7619047619047619	0.9024390243902439	0.9024390243902439	0.8235294117647058	0.84375	0.76	0.9069767441860466	0.9069767441860466	0.6666666666666667	0.6216216216216216	0.90625	0.7575757575757576	0.9142857142857143	0.8461538461538461	0.7837837837837838	0.9565217391304348	0.9565217391304348	0.9148936170212766	0.9148936170212766	0.9166666666666666	0.7575757575757576	0.6571428571428571	0.4838709677419355	0.8536585365853658	0.9545454545454546	0.9545454545454546	0.9148936170212766	0.9148936170212766	0.8064516129032258	0.4375	0
