feature_bundle	segments
[+back, +low, +round, +tense]	O
[-high, -coronal, +voice, -continuant, -nasal]	b
[-high, -continuant, +strident]	c
[-high, +coronal, +voice, -continuant, -nasal]	d
[+vocalic, -high, -back, -low, -tense]	e
[-coronal, -voice, +strident]	f
[-round, +voice]	g
[-vocalic, +low]	h
[+vocalic, +high, -back, -tense]	i
[+back, -voice, -continuant]	k
[-high, -coronal, +nasal]	m
[-vocalic, +voice, +continuant, -strident]	n
[-high, -low, +round, -tense]	o
[-high, -coronal, -voice, -continuant]	p
[+coronal, +nasal]	s
[+coronal, -voice, -continuant, -strident]	t
[+vocalic, +high, +back, -tense]	u
[-coronal, +voice, +continuant]	v
[-vocalic, +round]	w
[+back, +continuant]	x
[-vocalic, -consonantal, +high, -back]	y
[-high, +coronal, +voice, +strident]	z
[-back, +low, -round, +tense]	ä
[-back, +low, -tense]	æ
[+back, +low, -round]	ā
[+high, -back, -voice, -continuant]	č
[-high, -back, -low, +tense]	ē
[+high, -back, +tense]	ī
[+high, +nasal]	ŋ
[-high, +back, -low, +tense]	ō
[-back, +round]	œ
[+high, -back, -voice, +continuant]	š
[+high, +round, +tense]	ū
[+high, +voice, +continuant]	ž
[+back, +low, -tense]	ɔ
[-vocalic, -high, -round]	ɛ
[+vocalic, +high, +back, -round]	ɨ
[+back, -round, -tense]	ʌ
[+voice, -continuant, +strident]	ʝ
[+back, +low, +round]	O, ɔ
[-high, +voice, -continuant, -nasal]	b, d
[-coronal, +voice, -continuant, -nasal]	b, g
[-high, -coronal, +voice, -continuant]	b, m
[-high, -coronal, +voice, -nasal]	b, v
[-voice, -continuant, +strident]	c, č
[-vocalic, +coronal, +voice, -nasal, -strident]	d, n
[-high, +coronal, +voice, -continuant]	d, s
[+coronal, +voice, -continuant, -nasal]	d, ʝ
[+vocalic, -high, -back, -tense]	e, æ
[-high, -back, -low, -tense]	e, ɛ
[+vocalic, -high, -low, -round, -tense]	e, ʌ
[-high, -voice, +strident]	f, c
[-high, -coronal, -voice, +continuant]	f, h
[-coronal, +strident]	f, v
[+consonantal, -coronal, -voice, +continuant]	f, x
[-voice, +continuant, +strident]	f, š
[+back, +voice]	g, ŋ
[+vocalic, -back, -low, -tense]	i, e
[+vocalic, +high, -tense]	i, u
[+high, -back, -tense]	i, y
[-round, -continuant]	k, g
[+back, -voice]	k, x
[-high, +nasal]	m, s
[-coronal, +nasal]	m, ŋ
[-vocalic, -high, +coronal, +voice, +continuant]	n, z
[-high, +round, -tense]	o, ɔ
[-high, -coronal, -continuant, -nasal]	p, b
[+anterior, -coronal, -voice]	p, f
[-high, -coronal, -voice, -strident]	p, h
[-coronal, -voice, -continuant]	p, k
[-high, -voice, -continuant, -strident]	p, t
[+vocalic, +consonantal]	r, l
[-high, +coronal, -voice, -continuant]	t, c
[+coronal, -continuant, -nasal, -strident]	t, d
[+vocalic, -low, +round, -tense]	u, o
[+high, +back, -tense]	u, w
[-high, +voice, +strident]	v, z
[-anterior, -coronal, +continuant]	x, h
[-vocalic, -consonantal, +high]	y, w
[-vocalic, -consonantal, -round]	y, ɛ
[-high, +coronal, +strident]	z, c
[+coronal, +voice, +continuant, +strident]	z, ž
[-back, +low, -round]	ä, æ
[+low, -round, +tense]	ä, ā
[-back, +low, +tense]	ä, œ
[+low, -tense]	æ, ɔ
[+back, +low, +tense]	ā, O
[-high, +back, -round]	ā, ʌ
[+high, -voice, -continuant]	č, k
[+high, -back, -voice]	č, š
[+high, -back, -continuant]	č, ʝ
[+vocalic, -consonantal, -high, -back, -low]	ē, e
[-high, -back, -round, +tense]	ē, ä
[-high, -low, +tense]	ē, ō
[+vocalic, +high, -back]	ī, i
[-back, -low, +tense]	ī, ē
[-high, +back, +round, +tense]	ō, O
[-high, -low, +round]	ō, o
[+low, +round, +tense]	œ, O
[-back, -anterior, -voice, +continuant]	š, h
[+high, -voice, +continuant]	š, x
[+high, -back, +continuant]	š, ž
[+vocalic, +high, +round]	ū, u
[-low, +round, +tense]	ū, ō
[-vocalic, -consonantal, -high]	ɛ, h
[+back, -round, +tense]	ɨ, ā
[+high, -round, +tense]	ɨ, ī
[+high, +back, +tense]	ɨ, ū
[+vocalic, +back, -low, -round]	ɨ, ʌ
[-high, +back, -low, -tense]	ʌ, o
[+high, +voice, -continuant, -nasal]	ʝ, g
[+high, -back, +voice]	ʝ, ž
[-high, +coronal, -voice, +continuant]	θ, ð
[+voice, -continuant, -nasal, -strident]	b, d, g
[-vocalic, -high, +voice, -nasal, -strident]	b, d, n
[-back, +voice, -continuant, -nasal]	b, d, ʝ
[-coronal, +voice, -nasal]	b, v, g
