feature_bundle	segments
[+cont, +voice]	v, z, ž
[-labial, +long]	á, é, í
[-coronal, +long]	á, ó, ú
[+long, -open2]	í, ú, ű
[+coronal, +long, -open+]	í, ő, ű
[+cont, -anterior]	š, ž, j
[-cont, -anterior]	ḏ, č, ṉ
[-anterior, +voice]	ḏ, ž, ṉ
[-long, +open2]	a, e, o, ö
[+open+]	a, á, e, é
[-coronal, +open2]	a, á, o, ó
[-son, -cont, +voice]	b, d, ḏ, g
[-cont, +coronal, +voice]	d, n, ḏ, ṉ
[-son, +coronal, +voice]	d, z, ḏ, ž
[+coronal, -long]	e, i, ö, ü
[-labial, +coronal]	e, é, i, í
[+coronal, +open2]	e, é, ö, ő
[+coronal, -open2]	i, í, ü, ű
[+labial, -coronal]	o, ó, u, ú
[+labial, +open2]	o, ó, ö, ő
[+labial, -long]	o, ö, u, ü
[+cont, +anterior]	s, z, l, r
[-son, +cont, +coronal]	s, z, š, ž
[-cont, +coronal, -voice]	t, c, ṯ, č
[-son, -cont, +anterior]	t, d, c, ṯ
[+anterior, -voice]	t, s, c, ṯ
[+labial, -open2]	u, ú, ü, ű
[+long, +open2]	á, é, ó, ő
[+coronal, +long]	é, í, ő, ű
[+labial, +long]	ó, ő, ú, ű
[+labial, +coronal]	ö, ő, ü, ű
[-son, -anterior]	ḏ, š, ž, č
[-long, -open+]	i, o, ö, u, ü
[+son, +coronal]	n, l, r, ṉ, j
[+cons, +labial]	p, b, f, v, m
[-cont, +anterior]	t, d, c, n, ṯ
[+long, -open+]	í, ó, ő, ú, ű
[-labial]	a, á, e, é, i, í
[-coronal]	a, á, o, ó, u, ú
[-son, +voice]	b, d, z, ḏ, ž, g
[+coronal, +voice]	d, z, n, ḏ, ž, ṉ
[-son, +cont]	f, s, z, š, ž, h
[-open2]	i, í, u, ú, ü, ű
[+coronal, -open+]	i, í, ö, ő, ü, ű
[+son]	m, n, l, r, ṉ, j
[-cont, -voice]	p, t, c, ṯ, č, k
[-son, -cont, +coronal]	t, d, c, ṯ, ḏ, č
[-son, +anterior]	t, d, s, z, c, ṯ
[+coronal, -voice]	t, s, c, ṯ, š, č
[-anterior]	ḏ, š, ž, č, ṉ, j
[-long]	a, e, i, o, ö, u, ü
[-cont, +voice]	b, m, d, n, ḏ, ṉ, g
[+cons, +cont, +coronal]	s, z, l, r, š, ž, j
[+long]	á, é, í, ó, ő, ú, ű
[+open2]	a, á, e, é, o, ó, ö, ő
[+dorsal]	a, á, o, ó, u, ú, k, g
[-dorsal]	e, é, i, í, ö, ő, ü, ű
[-cons, +labial]	o, ó, ö, ő, u, ú, ü, ű
[-cont, +coronal]	t, d, c, n, ṯ, ḏ, č, ṉ
[-voice]	p, f, t, s, c, ṯ, š, č, k
[+anterior]	t, d, s, z, c, n, l, r, ṯ
[+voice]	b, v, m, d, z, n, ḏ, ž, ṉ, g
[+cons, +cont]	f, v, s, z, l, r, š, ž, j, h
[-open+]	i, í, o, ó, ö, ő, u, ú, ü, ű
[+cont, +labial]	o, ó, ö, ő, u, ú, ü, ű, f, v
[-son, -cont]	p, b, t, d, c, ṯ, ḏ, č, k, g
[-son, +coronal]	t, d, s, z, c, ṯ, ḏ, š, ž, č
[+labial]	o, ó, ö, ő, u, ú, ü, ű, p, b, f, v, m
[-cont]	p, b, m, t, d, c, n, ṯ, ḏ, č, ṉ, k, g
[-cons]	a, á, e, é, i, í, o, ó, ö, ő, u, ú, ü, ű
[+cont, +coronal]	e, é, i, í, ö, ő, ü, ű, s, z, l, r, š, ž, j
[+cons, +coronal]	t, d, s, z, c, n, l, r, ṯ, ḏ, š, ž, č, ṉ, j
[-son]	p, b, f, t, d, s, z, c, ṯ, ḏ, š, ž, č, k, g, h
[+coronal]	e, é, i, í, ö, ő, ü, ű, t, d, s, z, c, n, l, r, ṯ, ḏ, š, ž, č, ṉ, j
[+cons]	p, b, f, v, m, t, d, s, z, c, n, l, r, ṯ, ḏ, š, ž, č, ṉ, j, k, g, h
[+cont]	a, á, e, é, i, í, o, ó, ö, ő, u, ú, ü, ű, f, v, s, z, l, r, š, ž, j, h
[+seg]	a, á, e, é, i, í, o, ó, ö, ő, u, ú, ü, ű, p, b, f, v, m, t, d, s, z, c, n, l, r, ṯ, ḏ, š, ž, č, ṉ, j, k, g, h
