A	B	C	D	rule
ik	Vk		#	ik → Vk / __#
ik	Vk	oz	#	ik → Vk / oz__#
ik	Vk	z	#	ik → Vk / z__#
ik	Vk	koz	#	ik → Vk / koz__#
ik	Vk	akoz	#	ik → Vk / akoz__#
ik	Vk	ód	#	ik → Vk / ód__#
ik	Vk	d	#	ik → Vk / d__#
ik	Vk	álód	#	ik → Vk / álód__#
ik	Vk	lód	#	ik → Vk / lód__#
ik	Vk	tálód	#	ik → Vk / tálód__#
ik	Vk	dód	#	ik → Vk / dód__#
ik	Vk	od	#	ik → Vk / od__#
ik	Vk	šod	#	ik → Vk / šod__#
ik	Vk	óšod	#	ik → Vk / óšod__#
ik	Vk	oškod	#	ik → Vk / oškod__#
ik	Vk	škod	#	ik → Vk / škod__#
ik	Vk	kod	#	ik → Vk / kod__#
ik	Vk	atoškod	#	ik → Vk / atoškod__#
ik	Vk	koškod	#	ik → Vk / koškod__#
ik	Vk	ṉod	#	ik → Vk / ṉod__#
ik	Vk	aškod	#	ik → Vk / aškod__#
ik	Vk	jašod	#	ik → Vk / jašod__#
ik	Vk	ašod	#	ik → Vk / ašod__#
ik	Vk	ked	#	ik → Vk / ked__#
ik	Vk	ed	#	ik → Vk / ed__#
ik	Vk	ešked	#	ik → Vk / ešked__#
ik	Vk	šked	#	ik → Vk / šked__#
ik	Vk	tešked	#	ik → Vk / tešked__#
ik	Vk	izálód	#	ik → Vk / izálód__#
ik	Vk	doz	#	ik → Vk / doz__#
ik	Vk	uldoz	#	ik → Vk / uldoz__#
ik	Vk	alod	#	ik → Vk / alod__#
ik	Vk	lod	#	ik → Vk / lod__#
ik	Vk	áz	#	ik → Vk / áz__#
ik	Vk	táz	#	ik → Vk / táz__#
ik	Vk	lkod	#	ik → Vk / lkod__#
ik	Vk	áṉkod	#	ik → Vk / áṉkod__#
ik	Vk	s	#	ik → Vk / s__#
ik	Vk	alód	#	ik → Vk / alód__#
ik	Vk	toz	#	ik → Vk / toz__#
ik	Vk	ítoz	#	ik → Vk / ítoz__#
ik	Vk	kálód	#	ik → Vk / kálód__#
ik	Vk	lálód	#	ik → Vk / lálód__#
ik	Vk	káz	#	ik → Vk / káz__#
ik	Vk	ókáz	#	ik → Vk / ókáz__#
ik	Vk	iz	#	ik → Vk / iz__#
ik	Vk	éz	#	ik → Vk / éz__#
ik	Vk	skod	#	ik → Vk / skod__#
ik	Vk	tód	#	ik → Vk / tód__#
ik	Vk	áškod	#	ik → Vk / áškod__#
ik	Vk	anod	#	ik → Vk / anod__#
ik	Vk	tlenked	#	ik → Vk / tlenked__#
ik	Vk	étlenked	#	ik → Vk / étlenked__#
ik	Vk	enked	#	ik → Vk / enked__#
ik	Vk	lenked	#	ik → Vk / lenked__#
ik	Vk	ešed	#	ik → Vk / ešed__#
ik	Vk	elmešed	#	ik → Vk / elmešed__#
ik	Vk	mešed	#	ik → Vk / mešed__#
ik	Vk	ṉošod	#	ik → Vk / ṉošod__#
ik	Vk	ošod	#	ik → Vk / ošod__#
ik	Vk	rkod	#	ik → Vk / rkod__#
ik	Vk	árkod	#	ik → Vk / árkod__#
ik	Vk	lőd	#	ik → Vk / lőd__#
ik	Vk	előd	#	ik → Vk / előd__#
ik	Vk	őd	#	ik → Vk / őd__#
ik	Vk	lankod	#	ik → Vk / lankod__#
ik	Vk	nkod	#	ik → Vk / nkod__#
ik	Vk	atlankod	#	ik → Vk / atlankod__#
ik	Vk	tlankod	#	ik → Vk / tlankod__#
ik	Vk	ás	#	ik → Vk / ás__#
ik	Vk	rás	#	ik → Vk / rás__#
ik	Vk	ckod	#	ik → Vk / ckod__#
ik	Vk	lás	#	ik → Vk / lás__#
ik	Vk	l	#	ik → Vk / l__#
ik	Vk	tl	#	ik → Vk / tl__#
ik	Vk	öd	#	ik → Vk / öd__#
ik	Vk	öšöd	#	ik → Vk / öšöd__#
ik	Vk	š	#	ik → Vk / š__#
ik	Vk	ez	#	ik → Vk / ez__#
ik	Vk	öz	#	ik → Vk / öz__#
ik	Vk	sked	#	ik → Vk / sked__#
ik	Vk	ésked	#	ik → Vk / ésked__#
ik	Vk	űvésked	#	ik → Vk / űvésked__#
ik	Vk	gáz	#	ik → Vk / gáz__#
ik	Vk	rod	#	ik → Vk / rod__#
ik	Vk	arod	#	ik → Vk / arod__#
ik	Vk	óz	#	ik → Vk / óz__#
ik	Vk	kez	#	ik → Vk / kez__#
ik	Vk	talankod	#	ik → Vk / talankod__#
ik	Vk	peked	#	ik → Vk / peked__#
ik	Vk	eked	#	ik → Vk / eked__#
ik	Vk	ks	#	ik → Vk / ks__#
ik	Vk	eks	#	ik → Vk / eks__#
ik	Vk	ráz	#	ik → Vk / ráz__#
ik	Vk	vód	#	ik → Vk / vód__#
ik	Vk	kl	#	ik → Vk / kl__#
ik	Vk	acoškod	#	ik → Vk / acoškod__#
ik	Vk	formálód	#	ik → Vk / formálód__#
ik	Vk	dálód	#	ik → Vk / dálód__#
ik	Vk	dz	#	ik → Vk / dz__#
ik	Vk	ódz	#	ik → Vk / ódz__#
ik	Vk	álódz	#	ik → Vk / álódz__#
ik	Vk	glőd	#	ik → Vk / glőd__#
ik	Vk	edz	#	ik → Vk / edz__#
ik	Vk	őz	#	ik → Vk / őz__#
ik	Vk	lőz	#	ik → Vk / lőz__#
ik	Vk	edelmešked	#	ik → Vk / edelmešked__#
ik	Vk	mešked	#	ik → Vk / mešked__#
ik	Vk	elmešked	#	ik → Vk / elmešked__#
ik	Vk	köd	#	ik → Vk / köd__#
ik	Vk	őzköd	#	ik → Vk / őzköd__#
ik	Vk	orás	#	ik → Vk / orás__#
ik	Vk	jkod	#	ik → Vk / jkod__#
ik	Vk	edez	#	ik → Vk / edez__#
ik	Vk	dez	#	ik → Vk / dez__#
ik	Vk	nešed	#	ik → Vk / nešed__#
ik	Vk	tőz	#	ik → Vk / tőz__#
ik	Vk	etlenked	#	ik → Vk / etlenked__#
ik	Vk	detlenked	#	ik → Vk / detlenked__#
ik	Vk	ezked	#	ik → Vk / ezked__#
ik	Vk	zked	#	ik → Vk / zked__#
ik	Vk	gešked	#	ik → Vk / gešked__#
ik	Vk	méláz	#	ik → Vk / méláz__#
ik	Vk	láz	#	ik → Vk / láz__#
ik	Vk	šköd	#	ik → Vk / šköd__#
ik	Vk	ékez	#	ik → Vk / ékez__#
ik	Vk	tkez	#	ik → Vk / tkez__#
ik	Vk	klőd	#	ik → Vk / klőd__#
ik	Vk	esked	#	ik → Vk / esked__#
