base	variation	lemma_freq_corrected	string	log_odds	ranef
edzik	lakok/lakom	183810	edz	1.2992829841302609	NA
edződik	lakok/lakom	7138	edződ	-1.3268709406490895	NA
egyenesedik	lakok/lakom	3332	eḏenešed	1.550597412411167	NA
egyezik	lakok/lakom	230655	eḏez	1.536867219599265	NA
egyszerűsödik	lakok/lakom	13942	eḏserűšöd	-0.6061358035703156	NA
éhezik	lakok/lakom	59636	éhez	0.7439664289561583	NA
éjszakázik	lakok/lakom	12361	éjsakáz	-0.4325460667108351	NA
ejtőzik	lakok/lakom	3317	ejtőz	0.7121953755306397	NA
ékeskedik	lakok/lakom	5504	ékešked	-0.8344607136265229	NA
élcelődik	lakok/lakom	4503	élcelőd	-0.3483066942682157	NA
elégszik	lakok/lakom	184225	elégs	-2.8725368902601307	NA
elegyedik	lakok/lakom	21613	eleḏed	1.2902413312133107	NA
ellenkezik	lakok/lakom	35786	ellenkez	0.3465648370084371	NA
elmélázik	lakok/lakom	6646	elméláz	1.6187692398629847	NA
elmélkedik	lakok/lakom	48134	elmélked	-0.9194206248830828	NA
élősködik	lakok/lakom	9380	élőšköd	1.3437347467010947	NA
élvezkedik	lakok/lakom	4178	élvezked	-0.03015303817068755	NA
emlékezik	lakok/lakom	1190771	emlékez	3.8450688706310423	NA
emlékezik	lakok/lakom	607896	emlékez	0	NA
emlékszik	lakok/lakom	582900	emléks	-4.226614321171158	NA
emlékszik	lakok/lakom	582875	emléks	0.9382696385929302	NA
epekedik	lakok/lakom	5130	epeked	0.0368139731227164	NA
építkezik	lakok/lakom	78659	építkez	0.1286493650272142	NA
érdeklődik	lakok/lakom	365910	érdeklőd	1.8078983749221111	NA
ereszkedik	lakok/lakom	50960	eresked	-0.06484864674092511	NA
érintkezik	lakok/lakom	84963	érintkez	-1.2856508353402032	NA
érkezik	lakok/lakom	2258874	érkez	-1.5503669445604118	NA
érlelődik	lakok/lakom	17933	érlelőd	0	NA
erőlködik	lakok/lakom	26473	erőlköd	-0.7132781149669228	NA
erősködik	lakok/lakom	8007	erőšköd	-0.8351174418303325	NA
erősödik	lakok/lakom	216852	erőšöd	-0.63372376008914455	NA
értekezik	lakok/lakom	31517	értekez	0.2451224580329849	NA
esik	lakok/lakom	1885634	eš	-0.3232833621858785	NA
esedezik	lakok/lakom	9804	ešedez	-0.7151260872787205	NA
esküdözik	lakok/lakom	2908	ešküdöz	-0.13353139262452263	NA
esküszik	lakok/lakom	82803	ešküs	-4.751521449049892	NA
eszik	lakok/lakom	1320372	es	-0.1252573965710583	NA
eszik	lakok/lakom	1320365	es	1.203972804325936	NA
étkezik	lakok/lakom	56160	étkez	-2.116566674318765	NA
évődik	lakok/lakom	2026	évőd	-0.8527773261518292	NA
faggatózik	lakok/lakom	2014	faggatóz	-0.9328200338253656	NA
fagyoskodik	lakok/lakom	5038	faḏoškod	-0.616186139423817	NA
falatozik	lakok/lakom	15786	falatoz	0.05129329438755048	NA
fanyalodik	lakok/lakom	2114	faṉalod	0.6097655716208943	NA
fáradozik	lakok/lakom	40305	fáradoz	-1.4421054959047777	NA
fázik	lakok/lakom	77143	fáz	-1.962267894353248	NA
fegyverkezik	lakok/lakom	3563	feḏverkez	0.6931471805599453	NA
fejlődik	lakok/lakom	556362	fejlőd	0.4458614801491277	NA
fekszik	lakok/lakom	604506	feks	-2.1520495664645813	NA
feledkezik	lakok/lakom	122115	feledkez	-0.25671984684781396	NA
felejtkezik	lakok/lakom	9049	felejtkez	-0.6778797084291569	NA
férkőzik	lakok/lakom	18255	férkőz	-0.6931471805599453	NA
fertőződik	lakok/lakom	16236	fertőződ	-0.6931471805599453	NA
fésülködik	lakok/lakom	2935	féšülköd	-0.4054651081081645	NA
fészkelődik	lakok/lakom	5381	féskelőd	-0.31709595765807425	NA
fiatalodik	lakok/lakom	6846	fiatalod	-0.5142679679569635	NA
finomkodik	lakok/lakom	5135	finomkod	2.0907410969337694	NA
fogadkozik	lakok/lakom	8046	fogadkoz	-0.9661877030187782	NA
foglalkozik	lakok/lakom	1809823	foglalkoz	-2.3795526333551416	NA
fogyatkozik	lakok/lakom	8930	foḏatkoz	-2.662587827025453	NA
fogyókúrázik	lakok/lakom	10254	foḏókúráz	0.3642221495741153	NA
fohászkodik	lakok/lakom	16804	foháskod	-2.7087233751431143	NA
folytatódik	lakok/lakom	572068	fojtatód	-0.4289956055183584	NA
fonódik	lakok/lakom	18743	fonód	-0.6931471805599453	NA
fontoskodik	lakok/lakom	2612	fontoškod	-0.7375989431307791	NA
forgolódik	lakok/lakom	18063	forgolód	0.27672305866206137	NA
formálódik	lakok/lakom	36394	formálód	-0.38837067474886433	NA
forrósodik	lakok/lakom	4210	forróšod	0.5108256237659907	NA
főzőcskézik	lakok/lakom	4801	főzőčkéz	4.5217885770490405	NA
fukarkodik	lakok/lakom	8454	fukarkod	-1.4294665329850993	NA
