var_p	var_s	variation	string	resp1	resp2	log_odds	gcm
2	0.3	cselekszenek/cselekednek	galárz	10	17	-0.49247648509779407	0.10340204124914902
2	0.3	cselekszenek/cselekednek	gatágl	8	19	-0.7985076962177716	0.11237804136184099
2	0.3	cselekszenek/cselekednek	géregl	9	18	-0.6418538861723948	0.11434898840972188
2	0.3	cselekszenek/cselekednek	gibeml	16	10	0.4353180712578455	0.11335146205977585
2	0.3	cselekszenek/cselekednek	gihaml	17	12	0.32542240043462795	0.11387892332488977
2	0.3	cselekszenek/cselekednek	gihejl	17	10	0.49247648509779424	0.11367602632376053
2	0.3	cselekszenek/cselekednek	ḏihegz	12	17	-0.325422400434628	0.10605781160835596
2	0.3	cselekszenek/cselekednek	ḏiveps	15	12	0.20763936477824457	0.11070031789012921
2	0.3	cselekszenek/cselekednek	háks	15	14	0.06453852113757116	0.1174581079063175
2	0.3	cselekszenek/cselekednek	hiragz	15	12	0.20763936477824457	0.10701565939706525
2	0.3	cselekszenek/cselekednek	huboṉl	10	19	-0.5978370007556204	0.11289408138686295
2	0.3	cselekszenek/cselekednek	játl	19	10	0.5978370007556204	0.11813728811108172
2	0.3	cselekszenek/cselekednek	jurl	14	13	0.06899287148695142	0.11805702074925833
2	0.3	cselekszenek/cselekednek	klárags	15	11	0.28768207245178085	0.10786096643123304
2	0.3	cselekszenek/cselekednek	klarágz	7	19	-0.916290731874155	0.09992342290810947
2	0.3	cselekszenek/cselekednek	klégl	16	10	0.4353180712578455	0.11471490579051882
2	0.3	cselekszenek/cselekednek	klehéṉl	17	12	0.32542240043462795	0.10795314179123648
2	0.3	cselekszenek/cselekednek	klihašl	12	15	-0.2076393647782445	0.10789473671647135
2	0.3	cselekszenek/cselekednek	klűml	11	18	-0.4595323293784402	0.11341062620231282
2	0.3	cselekszenek/cselekednek	kluzl	12	17	-0.325422400434628	0.11277999723565937
2	0.3	cselekszenek/cselekednek	kösl	11	16	-0.3483066942682157	0.11623847974828755
2	0.3	cselekszenek/cselekednek	kűdl	19	8	0.7985076962177716	0.11466009982898574
2	0.3	cselekszenek/cselekednek	küšl	18	9	0.6418538861723947	0.11594691648159261
2	0.3	cselekszenek/cselekednek	lájz	16	10	0.4353180712578455	0.11072670097495405
2	0.3	cselekszenek/cselekednek	lírl	14	15	-0.06453852113757118	0.11878619273276116
2	0.3	cselekszenek/cselekednek	livéṉl	18	11	0.4595323293784402	0.11226725788461343
2	0.3	cselekszenek/cselekednek	lűkl	11	15	-0.2876820724517809	0.11818514970502322
2	0.3	cselekszenek/cselekednek	luml	11	15	-0.2876820724517809	0.11984047784350534
2	0.3	cselekszenek/cselekednek	mágaml	17	9	0.5877866649021191	0.11214822261594841
2	0.3	cselekszenek/cselekednek	metégs	15	14	0.06453852113757116	0.11137640933356587
2	0.3	cselekszenek/cselekednek	mihágz	9	20	-0.7419373447293773	0.10489467017270278
2	0.3	cselekszenek/cselekednek	míjz	16	13	0.1941560144409574	0.10941722198790195
2	0.3	cselekszenek/cselekednek	míšl	16	11	0.3483066942682158	0.11702631129505062
2	0.3	cselekszenek/cselekednek	mols	21	8	0.8938178760220965	0.1155358910726508
2	0.3	cselekszenek/cselekednek	mülőrz	15	11	0.28768207245178085	0.10165618911060931
2	0.3	cselekszenek/cselekednek	nágaps	15	11	0.28768207245178085	0.10916787375053487
2	0.3	cselekszenek/cselekednek	nivárz	7	19	-0.916290731874155	0.10293330134608306
2	0.3	cselekszenek/cselekednek	nurokl	20	9	0.7419373447293773	0.11258897386491393
2	0.3	cselekszenek/cselekednek	ṉádl	18	11	0.4595323293784402	0.1186037503989747
2	0.3	cselekszenek/cselekednek	ṉivágz	20	7	0.965080896043587	0.1043639248619358
2	0.3	cselekszenek/cselekednek	ṉizl	18	9	0.6418538861723947	0.11644437551846647
2	0.3	cselekszenek/cselekednek	ṉöbz	14	15	-0.06453852113757118	0.10882783701150853
2	0.3	cselekszenek/cselekednek	ṉülökl	16	11	0.3483066942682158	0.11167813283156479
2	0.3	cselekszenek/cselekednek	ṉürz	14	15	-0.06453852113757118	0.10956521621664297
2	0.3	cselekszenek/cselekednek	pehégs	16	10	0.4353180712578455	0.11233545536052399
2	0.3	cselekszenek/cselekednek	peks	19	8	0.7985076962177716	0.1173848518387003
2	0.3	cselekszenek/cselekednek	pibegz	8	18	-0.7472144018302211	0.10515251035261085
2	0.3	cselekszenek/cselekednek	pilégs	18	9	0.6418538861723947	0.11219603486160079
2	0.3	cselekszenek/cselekednek	plibz	10	17	-0.49247648509779407	0.10450580793918259
2	0.3	cselekszenek/cselekednek	pörz	11	16	-0.3483066942682157	0.10908541281890644
2	0.3	cselekszenek/cselekednek	pošl	20	9	0.7419373447293773	0.11825114007491543
2	0.3	cselekszenek/cselekednek	pragáṉl	13	13	0	0.10847405898468239
2	0.3	cselekszenek/cselekednek	prazl	13	16	-0.1941560144409575	0.1141176377324101
2	0.3	cselekszenek/cselekednek	préleml	15	12	0.20763936477824457	0.10963012122096917
2	0.3	cselekszenek/cselekednek	prihegs	13	16	-0.1941560144409575	0.10859639267276672
2	0.3	cselekszenek/cselekednek	prileps	21	8	0.8938178760220965	0.10877551815875228
2	0.3	cselekszenek/cselekednek	privéks	14	13	0.06899287148695142	0.10639627848771072
2	0.3	cselekszenek/cselekednek	prögz	9	18	-0.6418538861723948	0.10559087203043852
2	0.3	cselekszenek/cselekednek	prugorz	8	19	-0.7985076962177716	0.09918171836712962
2	0.3	cselekszenek/cselekednek	püzl	13	14	-0.06899287148695143	0.11692771914695706
2	0.3	cselekszenek/cselekednek	ribegs	11	15	-0.2876820724517809	0.11162706424384662
2	0.3	cselekszenek/cselekednek	riváṉl	14	13	0.06899287148695142	0.11167495663730771
2	0.3	cselekszenek/cselekednek	špalárz	12	14	-0.1431008436406733	0.10201857264834101
2	0.3	cselekszenek/cselekednek	špibaml	17	9	0.5877866649021191	0.10967397205746623
2	0.3	cselekszenek/cselekednek	špibegl	19	10	0.5978370007556204	0.11047956218591751
2	0.3	cselekszenek/cselekednek	špiharz	10	19	-0.5978370007556204	0.10147639200770336
2	0.3	cselekszenek/cselekednek	špirágl	11	15	-0.2876820724517809	0.11065173031506345
2	0.3	cselekszenek/cselekednek	špivejl	11	16	-0.3483066942682157	0.10941755031208
2	0.3	cselekszenek/cselekednek	špökl	19	10	0.5978370007556204	0.11249707147735043
2	0.3	cselekszenek/cselekednek	špoṉl	20	9	0.7419373447293773	0.11503155925165638
2	0.3	cselekszenek/cselekednek	šprebz	16	13	0.1941560144409574	0.10358191444615791
2	0.3	cselekszenek/cselekednek	šprigz	5	24	-1.4271163556401458	0.1029493777597301
2	0.3	cselekszenek/cselekednek	špriml	15	12	0.20763936477824457	0.11164270342897545
2	0.3	cselekszenek/cselekednek	šprozl	14	12	0.14310084364067324	0.10823613370068776
2	0.3	cselekszenek/cselekednek	šprudl	12	15	-0.2076393647782445	0.1099523356447605
2	0.3	cselekszenek/cselekednek	šprűrl	16	13	0.1941560144409574	0.11094660499330347
2	0.3	cselekszenek/cselekednek	špuborz	10	16	-0.4353180712578455	0.0985134120806036
2	0.3	cselekszenek/cselekednek	špügz	18	11	0.4595323293784402	0.1056381899447257
2	0.3	cselekszenek/cselekednek	šűjl	17	9	0.5877866649021191	0.11854607591211698
2	0.3	cselekszenek/cselekednek	strajl	17	10	0.49247648509779424	0.1129629731137842
2	0.3	cselekszenek/cselekednek	stredl	15	11	0.28768207245178085	0.11027229461265278
2	0.3	cselekszenek/cselekednek	stritl	14	12	0.14310084364067324	0.11028785249820774
2	0.3	cselekszenek/cselekednek	tágarz	13	14	-0.06899287148695143	0.10200138530395156
2	0.3	cselekszenek/cselekednek	tibarz	13	13	0	0.10269841063956514
2	0.3	cselekszenek/cselekednek	tögl	23	6	1.2321436812926323	0.11741110348005177
2	0.3	cselekszenek/cselekednek	trálakl	13	13	0	0.10931682110121578
2	0.3	cselekszenek/cselekednek	tráls	19	7	0.9162907318741552	0.11346401537393312
2	0.3	cselekszenek/cselekednek	tribejl	10	19	-0.5978370007556204	0.10864728713772805
2	0.3	cselekszenek/cselekednek	trlik	17	9	0.5877866649021191	0.1065693217632298
2	0.3	cselekszenek/cselekednek	trileks	14	12	0.14310084364067324	0.11015058923618794
2	0.3	cselekszenek/cselekednek	trírz	14	15	-0.06453852113757118	0.10468394704064918
2	0.3	cselekszenek/cselekednek	trivaks	13	13	0	0.10695953475763244
2	0.3	cselekszenek/cselekednek	trugokl	14	12	0.14310084364067324	0.107973695981185
2	0.3	cselekszenek/cselekednek	trugz	11	18	-0.4595323293784402	0.10609913978877196
2	0.3	cselekszenek/cselekednek	truks	14	13	0.06899287148695142	0.11180232785570118
2	0.3	cselekszenek/cselekednek	trűṉl	13	13	0	0.11330169446600682
2	0.3	cselekszenek/cselekednek	tűgz	14	12	0.14310084364067324	0.10887777890018838
2	0.3	cselekszenek/cselekednek	vehéks	18	8	0.7472144018302211	0.11191541801331498
2	0.3	cselekszenek/cselekednek	vihaps	17	10	0.49247648509779424	0.11114748224332134
2	0.3	cselekszenek/cselekednek	vilešl	13	13	0	0.11266394139036959
2	0.3	cselekszenek/cselekednek	virz	13	13	0	0.10982370940810508
2	0.3	cselekszenek/cselekednek	vobz	11	15	-0.2876820724517809	0.10995070777722205
2	0.7	hotelban/hotelben	bidem	1	25	-2.5649493574615367	0.5020875261872395
2	0.7	hotelban/hotelben	bingéj	5	24	-1.4271163556401458	0.5323526668010262
2	0.7	hotelban/hotelben	brágéd	14	15	-0.06453852113757118	0.5223504982019023
2	0.7	hotelban/hotelben	bralkép	6	21	-1.1451323043030026	0.5137881266723963
2	0.7	hotelban/hotelben	brasenc	8	18	-0.7472144018302211	0.4875806401411072
2	0.7	hotelban/hotelben	brigest	1	26	-2.6026896854443837	0.4705567165972701
2	0.7	hotelban/hotelben	brindez	1	25	-2.5649493574615367	0.48370633303079585
2	0.7	hotelban/hotelben	briškéd	3	23	-1.791759469228055	0.510747684575088
2	0.7	hotelban/hotelben	bródes	6	20	-1.0986122886681098	0.5036711446046745
2	0.7	hotelban/hotelben	broteš	13	13	0	0.4914773952374443
2	0.7	hotelban/hotelben	brukés	12	14	-0.1431008436406733	0.5248737459089022
2	0.7	hotelban/hotelben	buhéṉ	21	6	1.1451323043030026	0.5569248374214166
2	0.7	hotelban/hotelben	bupéz	15	11	0.28768207245178085	0.5494832035053364
2	0.7	hotelban/hotelben	čáḏelt	9	20	-0.7419373447293773	0.4779326652794863
2	0.7	hotelban/hotelben	čartéṉ	16	11	0.3483066942682158	0.537277905582897
2	0.7	hotelban/hotelben	čimen	1	28	-2.6741486494265287	0.5066840998429656
