string	gcm
bejz	0.11051846526720202
bötőrz	0.10007425233707738
brálaml	0.10904541195782583
braṉl	0.11495095879063245
brárl	0.11481447701904472
bratárz	0.0980101938466479
bregz	0.1071264303795847
brešl	0.11367922168454433
bribašl	0.1073137332729509
bribéks	0.10544463496159166
brilegz	0.10285989363827348
brivágl	0.1081914090017842
brivakl	0.10914279226760823
briveps	0.10575532451811136
brözl	0.11177176120265012
brűkl	0.11295652066016779
brülöšl	0.10481986998897674
brürz	0.10456365788332275
brüsl	0.11357311001486131
bügz	0.10959284924941727
čibagz	0.1044357783937884
čubz	0.10948355658360609
dabz	0.1093306043002388
dáraks	0.11163255033810236
dibágl	0.11326275912857774
dilakl	0.11341762403393035
diráṉl	0.11372281341134867
dirl	0.11819461239409114
döjl	0.11822099131964348
dralágz	0.10243907884356908
drilarz	0.10250408510981283
drivegz	0.1012500246641088
drojz	0.10596600792208308
drűrz	0.10486035901821368
dujz	0.10990408295130888
filáṉl	0.11385449894840248
flátl	0.11621660372033181
fleml	0.11802269647551089
fleréks	0.10944791018267133
flézl	0.11526061741818945
flivegz	0.10213234257080114
flodl	0.11425971343119128
flökl	0.1145232723848529
flubokl	0.109079592664486
flugoṉl	0.10829647402788065
flűgz	0.10703706697167657
flürökl	0.10934935354814107
föks	0.11641031580365328
frakl	0.11569555880964304
frálaps	0.10903151496593655
frálašl	0.10861093121438743
frélegz	0.10365742219738497
fréšl	0.11413092239088085
frihegl	0.11187452390555734
friṉl	0.11510783233801272
frirz	0.10580009230178726
frivaml	0.11042336596120893
fröjl	0.1147416983224444
fröjz	0.10565158610217636
frorl	0.11638576553853446
galárz	0.10340204124914902
gatágl	0.11237804136184099
géregl	0.11434898840972188
gibeml	0.11335146205977585
gihaml	0.11387892332488977
gihejl	0.11367602632376053
ḏihegz	0.10605781160835596
ḏiveps	0.11070031789012921
háks	0.1174581079063175
hiragz	0.10701565939706525
huboṉl	0.11289408138686295
játl	0.11813728811108172
jurl	0.11805702074925833
klárags	0.10786096643123304
klarágz	0.09992342290810947
klégl	0.11471490579051882
klehéṉl	0.10795314179123648
klihašl	0.10789473671647135
klűml	0.11341062620231282
kluzl	0.11277999723565937
kösl	0.11623847974828755
kűdl	0.11466009982898574
küšl	0.11594691648159261
lájz	0.11072670097495405
lírl	0.11878619273276116
livéṉl	0.11226725788461343
lűkl	0.11818514970502322
luml	0.11984047784350534
mágaml	0.11214822261594841
metégs	0.11137640933356587
mihágz	0.10489467017270278
míjz	0.10941722198790195
míšl	0.11702631129505062
mols	0.1155358910726508
mülőrz	0.10165618911060931
nágaps	0.10916787375053487
nivárz	0.10293330134608306
nurokl	0.11258897386491393
ṉádl	0.1186037503989747
ṉivágz	0.1043639248619358
ṉizl	0.11644437551846647
ṉöbz	0.10882783701150853
ṉülökl	0.11167813283156479
ṉürz	0.10956521621664297
pehégs	0.11233545536052399
peks	0.1173848518387003
pibegz	0.10515251035261085
pilégs	0.11219603486160079
plibz	0.10450580793918259
pörz	0.10908541281890644
pošl	0.11825114007491543
pragáṉl	0.10847405898468239
prazl	0.1141176377324101
préleml	0.10963012122096917
prihegs	0.10859639267276672
prileps	0.10877551815875228
privéks	0.10639627848771072
prögz	0.10559087203043852
prugorz	0.09918171836712962
püzl	0.11692771914695706
ribegs	0.11162706424384662
riváṉl	0.11167495663730771
špalárz	0.10201857264834101
špibaml	0.10967397205746623
špibegl	0.11047956218591751
špiharz	0.10147639200770336
špirágl	0.11065173031506345
špivejl	0.10941755031208
špökl	0.11249707147735043
špoṉl	0.11503155925165638
šprebz	0.10358191444615791
šprigz	0.1029493777597301
špriml	0.11164270342897545
šprozl	0.10823613370068776
