base	resp1	resp2	log_odds	tof_score
rájzik	13	13	0	0.50481513875875506
salárzik	15	12	0.20763936477824457	0.50481513875875506
siladzik	10	16	-0.4353180712578455	0.6112043003538655
sojzik	11	18	-0.4595323293784402	0.50481513875875506
spatszik	11	16	-0.3483066942682157	0.33962336576908697
spatárzik	14	15	-0.06453852113757118	0.50481513875875506
spibaklik	14	13	0.06899287148695142	0.6691644750113384
spibádzik	12	15	-0.2076393647782445	0.6112043003538655
spihegzik	14	15	-0.06453852113757118	0.50481513875875506
spihemlik	25	2	2.159484249353372	0.6691644750113384
spilágzik	7	20	-0.9650808960435872	0.50481513875875506
sprogzik	9	20	-0.7419373447293773	0.50481513875875506
sprálszik	11	15	-0.2876820724517809	0.45312410514513
sprédlik	25	2	2.159484249353372	0.6691644750113384
spröbzik	15	11	0.28768207245178085	0.50481513875875506
sprökszik	11	15	-0.2876820724517809	0.37409297471948166
spubonylik	23	6	1.2321436812926323	0.6691644750113384
spáraklik	18	11	0.4595323293784402	0.6691644750113384
spélszik	16	11	0.3483066942682158	0.45312410514513
spéslik	21	6	1.1451323043030026	0.6691644750113384
spírzik	13	13	0	0.50481513875875506
spüjzik	21	8	0.8938178760220965	0.50481513875875506
spülöklik	15	11	0.28768207245178085	0.6691644750113384
spülőrzik	17	9	0.5877866649021191	0.50481513875875506
spülűdzik	13	16	-0.1941560144409575	0.6112043003538655
spüszlik	14	12	0.14310084364067324	0.6691644750113384
spűmlik	23	4	1.5686159179138452	0.6691644750113384
szibánylik	19	8	0.7985076962177716	0.6691644750113384
szirlik	20	9	0.7419373447293773	0.6691644750113384
sztremlik	22	5	1.3437347467010947	0.6691644750113384
sztrijzik	14	12	0.14310084364067324	0.50481513875875506
sztrozlik	16	10	0.4353180712578455	0.6691644750113384
sztruglik	16	10	0.4353180712578455	0.6691644750113384
sztrűkszik	11	15	-0.2876820724517809	0.37409297471948166
szűslik	21	8	0.8938178760220965	0.6691644750113384
sűzlik	14	12	0.14310084364067324	0.6691644750113384
tiregzik	15	14	0.06453852113757116	0.50481513875875506
tomlik	27	2	2.2335922215070942	0.6691644750113384
tragzik	13	14	-0.06899287148695143	0.50481513875875506
treglik	18	8	0.7472144018302211	0.6691644750113384
trehégszik	8	18	-0.7472144018302211	0.33417970300263633
trihagzik	9	18	-0.6418538861723948	0.50481513875875506
trilszik	15	11	0.28768207245178085	0.45312410514513
trádlik	16	10	0.4353180712578455	0.6691644750113384
tuboklik	16	10	0.4353180712578455	0.6691644750113384
táklik	11	15	-0.2876820724517809	0.6691644750113384
tínylik	16	10	0.4353180712578455	0.6691644750113384
vanylik	21	6	1.1451323043030026	0.6691644750113384
vihepszik	8	18	-0.7472144018302211	0.45312410514513
vilakszik	8	19	-0.7985076962177716	0.37409297471948166
vülődzik	14	13	0.06899287148695142	0.6112043003538655
vűjlik	20	6	1.0986122886681098	0.6691644750113384
zödlik	18	8	0.7472144018302211	0.6691644750113384
